pg_id,title,author,year,fictionality,language,pages
9553,The adventures of Sherlock Holmes : the 48% solution / by Michael Carter,"Carter, Michael, 1950-",1988,0,eng,6.0
47790,"The works of William Cowper: his life, letters, and poems. Now first completed by the introduction of Cowper's private correspondence. Edited by the Rev. T. S. Grimshawe.","Cowper, William, 1731-1800",1853,0,eng,749.0
28841,Current superstitions : collected from the oral tradition of English speaking folk.,"Bergen, Fanny (Dickerson), Mrs., 1846- [from old catalog]",1896,0,eng,6.0
9686,The life and aventures of Robinson Crusoe : to which is prefixed a biographical memoir of Daniel De Foe.,"Defoe, Daniel, 1661?-1731.",1810,1,eng,
50109,"The mysterious stranger ; or, the adventures of Henry More Smith / being a copy of the original and republished by George W. Miller, Southampton, York County, New Brunswick.","Bates, Walter, 1760-1842.",1855,0,eng,109.0
8763,The people that time forgot / Edgar Rice Burroughs.,"Burroughs, Edgar Rice, 1875-1950.",1975,1,eng,140.0
9942,"Lectures on ten British mathematicians of the nineteenth century, by Alexander Macfarlane ...","Macfarlane, Alexander, 1851-1913.",1916,0,eng,148.0
44154,"Swatty; a story of real boys, by Ellis Parker Butler ...","Butler, Ellis Parker, 1869-1937.",1920,1,eng,5.0
20277,The history of England from accession of James II. / By Thomas Babington Macaulay.,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859.",1856,0,eng,
32363,Ten girls from history / by Kate Dickinson Sweetser.,"Sweetser, Kate Dickinson, d. 1939.",1912,0,eng,227.0
65978,"Champions of the fleet, captains and men-of-war and days that helped to make the empire; by Edward Fraser.  With 19 illustrations.","Fraser, Edward.",1908,0,eng,299.0
8619,"Round the red lamp, being facts and fancies of medical life.","Doyle, Arthur Conan, 1859-1930",1926,0,eng,
74523,Church dictionary.,"Hook, Walter Farquhar, 1798-1875.",1867,0,eng,807.0
9113,"Före Adam, bemyndigad översättning av M. Drangel.","London, Jack, 1876-1916.",1918,0,swe,158.0
74579,"Heavens and earth, a book of poems, by Stephen Vincent Benét.","Benét, Stephen Vincent, 1898-1943.",1920,0,eng,6.0
23716,"Alice's Abenteuer im Wunderland, vom Lewis Carroll [pseud.] Autorisierte Ausgabe aus dem Englischen. Mit 8 Vollbilden und zahlreichen Text-Illustrationen von John Tenniel.","Carroll, Lewis, 1832-1898.",1901,1,ger,4.0
38276,The cruise of the Snowbird : a story of arctic adventure / by Gordon Stables.,"Stables, Gordon, 1840-1910.",1884,1,eng,
57673,The garden god : a tale of two boys by Forrest Reid / introduction by Colin Cruise.,"Reid, Forrest, 1875-1947.",1986,1,eng,102.0
